"","FacID","FacLatitude","FacLongitude","zip","Exposure","Exposure_popwt","Exposure_popwt_tot_fac","Fac_rank_exp","Fac_rank_popwt","year"
"281","1364",38.0531,-85.91,"40241",22859.4686795639,589659994.589351,22423021971.2932,8,8,2005
"282","1364",38.0531,-85.91,"40242",22859.4686795639,250905528.226893,22423021971.2932,8,8,2005
"283","1356",38.7497,-85.035,"40243",18531.8236377062,184725218.020655,12607184217.7243,8,8,2005
"284","1364",38.0531,-85.91,"40245",18240.867603605,472347266.595351,22423021971.2932,8,8,2005
"285","1378",37.2608,-86.9783,"40258",26487.2763788471,660168876.466386,20266293286.2437,8,8,2005
"286","6705",37.915,-87.3328,"40272",27248.6208756256,940976624.697979,16002634611.6599,8,8,2005
"287","1363",38.1828,-85.8894,"40291",19936.1967097825,636483016.156515,18506684378.1223,8,8,2005
"288","1363",38.1828,-85.8894,"40299",17568.8645626896,590647657.733061,18506684378.1223,8,8,2005
"289","2832",39.1131,-84.8031,"40023",14781.7162042646,46931948.9485402,11559939203.9813,9,9,2005
"290","1364",38.0531,-85.91,"40025",23964.7569134852,4625198.08430264,22423021971.2932,9,9,2005
"291","1363",38.1828,-85.8894,"40059",20511.0473218065,298415227.484963,18506684378.1223,9,9,2005
"292","6705",37.915,-87.3328,"40118",21761.9186580436,199730889.443524,16002634611.6599,9,9,2005
"293","2850",38.6361,-83.6939,"40177",22702.46916775,40977956.8477888,19543764678.6266,9,9,2005
"294","6705",37.915,-87.3328,"40202",25341.7387074125,121792396.227825,16002634611.6599,9,9,2005
"295","6705",37.915,-87.3328,"40203",25341.7387074125,514335928.805645,16002634611.6599,9,9,2005
"296","6705",37.915,-87.3328,"40204",23052.1511999976,347165397.071964,16002634611.6599,9,9,2005
"297","6705",37.915,-87.3328,"40205",18825.6698755444,432331508.691878,16002634611.6599,9,9,2005
"298","6705",37.915,-87.3328,"40206",22982.0085955898,443253999.783141,16002634611.6599,9,9,2005
"299","1356",38.7497,-85.035,"40207",21204.944774909,622407539.033129,12607184217.7243,9,9,2005
